'連江縣','連江縣流浪犬收容中心','81',',,馬祖南竿鄉復興村(近機場 ,,0836-25003,,,,開放參訪日期:週一~週五^開放參訪時段:上午8:00~12:00，下午1:30~5:30                           ','7ed19a1a8672d760bf3dba374e3e442e.jpg')
'宜蘭縣','宜蘭縣流浪動物中途之家','78','http://animal.e-land.gov.tw/releaseRedirect.do?unitID=125&pageID=6341,,宜蘭縣五結鄉成興村利寶路60號,,039-602350,,animal@mail.e-land.gov.tw,,開放參訪日期(夏令:週一~週五^開放參訪時段(夏令):上午8:00~下午5:30^^開放參訪日期(冬令):每年11月1日至隔年2月底，週一~週五^開放參訪時段(冬令): 上午8:00~下午5:00^                                                                                                     ^一、由國道5號羅東交流道下→直行到底後左轉（往親水公園）→過利澤簡大橋直走到^        底後右轉→過噶瑪蘭大飯店，第一個紅綠燈左轉→宜蘭縣動植物防疫所。^二、走北部濱海公路→到頭城鎮，不要開上頭城大橋，直接左轉→走台2線 →經壯圍鄉、^        五結鄉→過噶瑪蘭大飯店，第一個紅綠燈左轉→宜蘭縣動 植物防疫所。^三、走北宜公路→到礁溪鄉右轉→走台9線→過宜蘭大橋，進入宜蘭市→往羅東方向→^        經宜蘭運動公園與宜蘭縣政府→當過蘭陽大橋後，第二個紅綠燈左轉→走學進路^        到底後左轉（往親水公園）→過利澤簡大橋直走到底後右轉→過噶瑪蘭大飯店，^        第一個紅綠燈左轉→宜蘭縣動植物防疫所。                                          ','eda3706f941622b6a020cbf321bd7854.jpg')
'新竹市','新竹市動物收容所','62',',,新竹市南寮里海濱路250號,,03-5368329,,,,開放參訪日期:^週一~週五^開放參訪時段:上午09:30~中午11:30，下午2:00~下午4:00          ^^週六^開放參訪時段:上午10：00~12：00。 ^^週日及國定假日不開放','418249bdd3e3de532038d38987a530fb.JPG'
'新竹縣','新竹縣動物收容所','63','http://animalprotection.hchg.gov.tw/sca/C/Animal.aspx,,新竹縣竹北市縣政五街192號,,03-5519548轉202,,,,請點選本所「網址」^有認養方式說明及正確詳細動物更詳細資訊        ^^開放時間：^週二至週五 8:00~16:00^週六(不含連假及節日10:00~15:00                                                                                                                                                                 ','741ef96c0dfe2742e0b87e7d3fe9d789.jpg')
'桃園市','桃園市動物保護教育園區','61','http://www.tycg.gov.tw/animal/,,桃園市新屋區永興里大牛欄 117 號,,03-4861760 傳真: (034861765,,,,開放參訪日期:週二、四、六，另國定假日休園。^開放參訪時段:上午10:00~12:00，下午1:30~3:30^#領養注意事項:^1. 需攜帶年滿20歲的身分證件^2. 植入晶片,進行寵物登記^3. 收取規費(領養1隻動物最多收取510元)^4. 幼年動物可直接辦理認領養,成年動物需待絕育後通知帶回^**如何前往園區：^1.由台66線東西向快速道路，在台15線濱海公路往南，到了51.7公里處，看到金發便利商店就右轉，遇到堤防再左轉， 約1公里就可到達 。^2.由台66線東西向快速道路走到底，左轉台61線西濱公路往南，到了51.4公里處右轉，遇到堤防再左轉， 約1公里就可到達 。^3.由縣道144號往永安漁港方向，右轉台61線濱公路往北，，到了51.4公里處左轉，遇到堤防再左轉， 約1公里就可到達 。                                                                                                ','7fd5236bdf7ae53d8b8ec188475a8636.jpg')
'苗栗縣','苗栗動物收容所','65','http://www.miaoli.gov.tw/animal_health/normalIndex.php,,苗栗縣苗栗市新川里泉水窩1號,,037-368997,,,,動物認領養開放時間：週一至週五下午14:00~15:00                                                                                                  ','40198fac88b26b7ad485a9edd02afa33.jpg'
'苗栗縣','苗栗寵物認養平台','96','http://www.miaoli-animal.com/,,苗栗縣苗栗市國福路10號,,037-320049,,,,開放參訪日期:^開放參訪時段:週一至週五AM08:00-PM05:00                                         ',''
'臺中市','臺中市動物之家南屯園區','67','http://www.animal.taichung.gov.tw/lp.asp?ctNode=3724&CtUnit=1687&BaseDSD=57&mp=119020,,臺中市南屯區中台路601號,,04-23850976,,,,開放參訪日期:週一、二、四、六^開放認養日期:週一~週六^^開放參訪時段:上午10:00~12:00，下午1:30~4:00^開放認養時段:上午10:00~12:00，下午1:30~4:00                                          ','8f0ba630db7f87cda2075e380d118b38.jpg'
'臺中市','臺中市動物之家后里園區','68','http://www.animal.taichung.gov.tw/lp.asp?ctNode=3724&CtUnit=1687&BaseDSD=57&mp=119020,,臺中市后里區堤防路370號,,04-25588024,,,,開放認養日期:週一~週六^開放認養時段:上午10:00~12:00，下午1:30~4:00                                                                      ','9cac8a221713f4bee7c011fe113e6506.jpg'
'彰化縣','彰化縣流浪狗中途之家','69','http://www.chcgadcc.gov.tw/,,彰化縣員林鎮大峰里阿寶坑426號          請於彰化縣芬園鄉大彰路一段875巷進入,,04-8590638,,,,開放參訪日期:週一~週日(週五不開放^開放認養時間:週一、三、六、日^開放參訪時段:上午10:00~12:00，下午2:00~4:00^入口請衛星定位搜尋:彰化縣芬園鄉大彰路一段875巷直走到底                                                                                                                                                                                    ','75598eba7ffef31cb6a4121a92df2801.jpg')
'南投縣','南投縣公立動物收容所','70','http://adcc.nantou.gov.tw/,,南投縣南投市嶺興路36之1號,,049-2225440,,,,開放參訪日期:週一~週五，另例假日需事先聯絡再安排人員辦理。^^開放參訪時段:上午9:00~11:30，下午1:30~4:00                                                      ','7f50b6bc61d2c338d0afe1e72ad63cf6.jpg'
'嘉義市','嘉義市流浪動物收容所','71','http://www.dog.dias.com.tw/,,嘉義市彌陀路101號旁(環保局停車場內,,05-2168661,,,,開放參訪日期:週一~週五，另例假日不開放。^^開放參訪時段:上午9:00~11:30，下午2:00~5:00                                                        ','6c4151745a6d77d1479c00b501736245.jpg')
'嘉義縣','嘉義縣流浪犬中途之家','72','http://www.ldcc.gov.tw/,,嘉義縣民雄鄉松山村後山仔37~1號,,05-3620025,,,,開放參訪日期:週一~週五，另週六、日場內消毒不開放。^^開放參訪時段:周一至周五上午9:00~12:00下午1:00~4:00                                             ','64b56e8bfb05215298817667135e1303.jpg'
'雲林縣','雲林縣流浪動物收容所','89','http://www4.yunlin.gov.tw/livestock/home.jsp?mserno=200806030001 &serno=200806030001&contlink=ap/fos,,雲林縣斗六市雲林路二段517號,,公告動物均安置於代收容動物醫院,請洽該動物醫院洽詢辦理相關事,,,,若要前往參訪或認領養寵物，可聯絡各動物醫院^詳細聯絡資訊與開放時間請參考：^雲林縣動植物防疫所網站>>流浪狗認領養>>雲林縣政府流浪犬認領養流程表>>相關附件：本縣委託代收容流浪犬動物醫院開放認養時間表.doc                                          ',''
'臺南市','臺南市動物之家灣裡站','73','http://www.tnadc.gov.tw/collecting/index.html,,臺南市南區省躬里14鄰萬年路580巷92號,,06-2964439,,,,開放參訪日期:週二~週六，另星期一、日及國定例假日不開放。^開放參訪時段:上午9:00~12:00，下午1:30~4:30                                          ','22997d0c2406aa14b1f1639f1e530f74.jpg'
'臺南市','臺南市動物之家善化站','74','http://www.tnadc.gov.tw/collecting/index.html,,臺南市善化區東昌里東勢寮1之19號,,06-5832399,,,,開放參訪日期:週二~週六，另星期一、日及國定例假日不開放。^開放參訪時段:上午9:00~12:00，下午1:30~4:30                                          ','7efd0017e2c96c0f4f0a991a2345f9ef.jpg'
'高雄市','高雄市動物保護教育園區','75','http://asms.wsn.com.tw/ks/webClientMain.aspx?Page=0,,高雄市鼓山區萬壽路350號,,07-5519059,,,,開放參訪日期:週一~週六，另周三上午及國定假日不開放。^開放參訪時段:上午9:30~11:30，下午2:00~4:30                                                                                    ','66e9a7580114486b4c92081fbdde8923.jpg'
'高雄市','高雄市燕巢動物收容所','76','http://asms.wsn.com.tw/ks/webClientMain.aspx?Page=0,,高雄市燕巢區師大路100號,,07-6051002,,,,開放參訪日期:週一~週六，另週三及國定假日不開放。^開放參訪時段:上午9:00~11:30，下午1:30~4:00                                                                                ','91653648dd260dcb2e2c6bd2f8982440.jpg'
'澎湖縣','澎湖縣流浪動物收容中心','83','http://www.phldcc.gov.tw/ch/home.jsp,,澎湖縣馬公市烏崁里260號,,06-9213559,,,,開放參訪日期:週一~週五^^開放參訪時段:上午9:00~11:30，下午2:00~4:30                                          ','e32c8d18b9c37f82f11304ef2bea91d5.JPG'
'金門縣','金門縣動物收容中心','82','http://www.kinmen.gov.tw/,,金門縣金湖鎮裕民農莊20號,,082-336625,,,,開放參訪日期:週一~週五^^開放參訪時段:上午8:00~12:00，下午1:30~5:30                                          ','fae1a80623012e73a7b2f961b04a7c7c.jpg'
'屏東縣','屏東縣流浪動物收容所','77',',,屏東縣內埔鄉學府路1號(屏東科技大學內,,08-7740588#6332；08-7701094,,,,認養時段:週一至週五 早上9:00至11:00；下午2:00至6:00^                                                                                                           ','7ba65b3a7060f614a893d02de0d1d6c2.jpg')
'臺東縣','臺東縣動物收容中心','80','https://sites.google.com/a/jbps.ttct.edu.tw/tai-dong-xian-dong-wu-fang-yi-suo/,,臺東縣臺東市中華路4段861巷350號,,089-362011,,houk6616@gmail.com,,開放參訪及領養日期 : 週一 ~ 週日^開放參訪及領養時段 : 上午 9:30 ~ 11:30，^                         下午 2:30 ~ 4:30         ^臺東縣動物防疫所臉書粉絲專頁網址  https://www.facebook.com/pages/臺東縣動物防疫所/122418011250113                                                                                                                              ','f5130885e89be9e75dd34e6f958ba315.jpg'
'花蓮縣','花蓮縣流浪犬中途之家','79','http://acdc.hl.gov.tw/web/07pets/01adpot_1.htm,,花蓮縣吉安鄉南濱路1段599號,,038-421452,,,,開放參訪日期:週一~週五^開放參訪時段:上午10:00~12:00，下午2:00~4:00    ^開放參訪日期::週六^開放參訪時段:上午10:00~下午4:00^遇國定連續假日停止開放乙次^                                                                                ','18e083fa7c9e021e7f280529c1e7eb10.jpg'
